List of popular travel destination in Malaysia,cityid,type,areaid
Langkawi,16928,,
Kuala Perlis,88779,area,281036
Gua Musang,105937,,
Kota Bharu,211364,,
Pulau Perhentian,106060,,
Kuala Krai,211402,,
Taiping,105645,,
Bayan Lepas,16087,area,62403
Kulim,162149,,
Bukit Mertajam,16087,area,62401
Batu Ferringhi,16087,area,32997
Tanjung Bungah,16087,area,62394
George Town Malaysia,208243,,
Sungai Petani,106032,,
Kuala Kangsar,162339,,
Kampar,162311,,
Teluk Intan,162350,,
Sitiawan,211915,,
Sungai Siput,15523,area,499675
Tanjong Malim (Perak),212144,,
Tanjong Malim (Selangor),716262,,
Pulau Pangkor,17187,,
Lumut,19409,,
Jerteh,513165,area,483557
Pengkalan Chepa,211364,area,481716
Tanah Merah,162160,,
Bachok,211364,area,481717
Machang,162160,area,514630
Hulu Langat,14524,area,514650
Putrajaya,14524,area,32006
Petaling Jaya,9576,,
Setia Alam,5435,area,483206
Subang Jaya,14524,area,80802
Port Klang,105971,area,512965
Puchong,162489,,
Bukit Jalil,14524,area,80768
Rawang,14524,area,93394
Kuala Selangor,17341,,
Sekinchan,211836,area,481181
Kajang,14524,area,80448
Ampang,14524,area,94254
Batu Caves,162164,,
Genting Highlands,4684,,
Damansara,14524,area,94634
Port Dickson,8422,,
Lukut,8422,area,513154
Nilai,162268,,
Bukit Fraser,105644,,
Seri Kembangan,211874,,
Banting,162443,,
Sepang,5070,,
Senawang,106017,,
Klebang,15121,area,519655
Batu Berendam,15121,area,61132
Jonker,15121,area,80479
Ayer Keroh,15121,area,62207
Tangkak,212139,,
Muar,106028,,
Masjid Tanah,15121,area,378407
Alor Gajah,15121,area,61135
Bemban,15121,area,519653
Batu Pahat,162093,,
Temerloh,212177,,
Raub,211731,,
Kuala Lipis,211407,,
Ipoh,15523,,
Pekan,211646,,
Cameron Highlands,1399,,
Pulau Redang,21299,,
Kuala Terengganu,15780,,
Chukai,208202,,
Kemaman,162502,,
Kuantan,3241,,
Mersing,106026,,
Kluang,106063,,
Yong Peng,162093,area,503620
Kulai,102472,,
Skudai,1808,area,94359
Kota Tinggi,162112,,
Johor Bahru,1808,,
Pasir Gudang,1808,area,94702
Sibu,105987,,
Bentong,512864,,
Tioman Island,16012,,
Kuching,14523,,
Sibu,105987,,
Bintulu,105619,,
Miri,1102,,
Mukah,211578,,
Sri Aman,211920,,
Sarikei,162439,,
Labuan,14242,,
Tawau,106025,,
Kota Kinabalu,5070,,
Kundasang,513416,area,484065
Kota Belud,211363,,
Kudat,162414,,
Sandakan,106018,,
Lahad Datu,105650,,
Semporna,106021,,
