List of popular travel destination in Malaysia,cityid,type,areaid,total
Langkawi,16928,,,317
Kuala Perlis,88779,area,281036,13
Gua Musang,105937,,,27
Kota Bharu,211364,,,259
Pulau Perhentian,106060,,,9
Kuala Krai,211402,,,3
Taiping,105645,,,108
Bayan Lepas,16087,area,62403,16
Kulim,162149,,,12
Bukit Mertajam,16087,area,62401,32
Batu Ferringhi,16087,area,32997,36
Tanjung Bungah,16087,area,62394,5
George Town Malaysia,208243,,,17
Sungai Petani,106032,,,82
Kuala Kangsar,162339,,,23
Kampar,162311,,,49
Teluk Intan,162350,,,25
Sitiawan,211915,,,45
Sungai Siput,15523,area,499675,4
Tanjong Malim (Perak),212144,,,17
Tanjong Malim (Selangor),716262,,,2
Pulau Pangkor,17187,,,82
Lumut,19409,,,63
Jerteh,513165,area,483557,7
Pengkalan Chepa,211364,area,481716,14
Tanah Merah,162160,,,25
Bachok,211364,area,481717,5
Machang,162160,area,514630,6
Hulu Langat,14524,area,514650,1
Putrajaya,14524,area,32006,39
Petaling Jaya,9576,,,134
Setia Alam,5435,area,483206,19
Subang Jaya,14524,area,80802,108
Port Klang,105971,area,512965,13
Puchong,162489,,,49
Bukit Jalil,14524,area,80768,17
Rawang,14524,area,93394,13
Kuala Selangor,17341,,,44
Sekinchan,211836,area,481181,36
Kajang,14524,area,80448,34
Ampang,14524,area,94254,32
Batu Caves,162164,,,134
Genting Highlands,4684,,,299
Damansara,14524,area,94634,25
Port Dickson,8422,,,340
Lukut,8422,area,513154,7
Nilai,162268,,,82
Bukit Fraser,105644,,,45
Seri Kembangan,211874,,,97
Banting,162443,,,84
Sepang,5070,,,562
Senawang,106017,,,75
Klebang,15121,area,519655,7
Batu Berendam,15121,area,61132,3
Jonker,15121,area,80479,32
Ayer Keroh,15121,area,62207,13
Pusat Bandar Melaka,,,,
Tangkak,212139,,,10
Muar,106028,,,50
Masjid Tanah,15121,area,378407,7
Alor Gajah,15121,area,61135,28
Bemban,15121,area,519653,5
Batu Pahat,162093,,,66
Temerloh,212177,,,21
Raub,211731,,,20
Kuala Lipis,211407,,,8
Ipoh,15523,,,404
Pekan,211646,,,15
Cameron Highlands,1399,,,490
Pulau Redang,21299,,,3
Kuala Terengganu,15780,,,172
Chukai,208202,,,30
Kemaman,162502,,,1
Kuantan,3241,,,319
Mersing,106026,,,23
Kluang,106063,,,35
Yong Peng,162093,area,503620,4
Kulai,102472,,,59
Skudai,1808,area,94359,29
Kota Tinggi,162112,,,9
Johor Bahru,1808,,,1013
Pasir Gudang,1808,area,94702,7
Sibu,105987,,,71
Bentong,512864,,,53
Tioman Island,16012,,,25
Kuching,14523,,,199
Sibu,105987,,,0
Bintulu,105619,,,45
Miri,1102,,,109
Mukah,211578,,,4
Sri Aman,211920,,,7
Sarikei,162439,,,7
Labuan,14242,,,25
Tawau,106025,,,31
Kota Kinabalu,5070,,,548
Kundasang,513416,area,484065,4
Kota Belud,211363,,,22
Kudat,162414,,,17
Sandakan,106018,,,43
Lahad Datu,105650,,,14
Semporna,106021,,,97
